ID;Name;IMDB_Rating;Premiere;Finale ;Runtime_of_Episodes;Overview
1531;Kingdom Hospital;6.8;2004;null;608;Stephen King's take on the masterpiece series by Lars von Trier. A great disaster threatens a haunted hospital in Lewiston, Maine, built on the site of a Civil War-era mill fire in which many children died.
1532;Wonder Woman;7.1;1975;1979;60;The adventures of the greatest of the female superheroes.
1533;Vegas;7.3;2012;2013;44;Ralph Lamb, a former MP for the US Army, becomes sheriff. His brother, Jack, and his son, Dixon, are deputized. Meanwhile, Vincent Savino comes from Chicago to Vegas to run The Savoy hotel and casino.
1534;War of the Worlds;6.3;2019;null;49;Set in contemporary France, this Anglo-French reimagining of H. G. Wells' classic in the style of Walking Dead follows pockets of survivors forced to team up after an apocalyptic extra-terrestrial strike.
1535;Fraggle Rock;7.9;1983;1987;30;The adventures of the various inhabitants of an underground civilization.
1536;Ben de Ã–zledim;8.1;2013;2014;75;Leyla and Mecnun series has been canceled, as the teams try to hold on to life.
1537;Motherland: Fort Salem;7.1;2020;null;46;A trio of witches are trained to become powerful weapons for the American military.
1538;Fabulous Lives of Bollywood Wives;3.5;2020;null;35;Cameras follow the banter and bonding between four fun-loving women from Bollywood's inner circle as they juggle professions, family and friendship.
1539;The Young Indiana Jones Chronicles;7.3;1992;1993;45;The adventures of the archaeological treasure hunter in his youth as related by an elderly Indiana Jones.
1540;Would I Lie to You?;8.1;2007;null;30;Two teams, lead by their team leader (either Lee Mack or David Mitchell), have to try and make the other team believe their crazy stories.
1541;Him-ssen yeo-ja Do Bong-soon;8.2;2017;null;67;Do Bong-soon is a woman born with superhuman strength that comes from the long line of women possessing it. when Ahn Min Hyuk, the CEO of ainsoft, a gaming company witnesses her strength he hires her as his personal bodyguard.
1542;Clarence;6.6;2013;2018;23;The adventures of a 4th grader named Clarence along with his two best friends, Sumo and Jeff.
1543;Necessary Roughness;7;2011;2013;60;A Long Island psychotherapist's personal life unravels when she finds her husband cheating. Diving fully into her work, Dr. Dani Santino soon finds herself as the most sought-after ...                See full summaryÂ Â»
1544;Lipstick Jungle;6.5;2008;2009;60;"A look at the lives of Nico, Wendy, and Victory -- three of ""New York's 50 Most Powerful Women,"" according to The New York Post."
1545;The Bold and the Beautiful;3.4;1987;null;30;The saga of high fashion glamour, honor, romance, passion, and most importantly, family.
1546;The Player;7;2015;null;60;A former intelligence and FBI officer, who now works as a security expert in Las Vegas, is recruited by mysterious pit boss Mr. Johnson to, based on his tips, try to prevent crimes, while the rich place bets on his chances of success.
1547;Mob City;7.5;2013;null;60;1947, Los Angeles. Cop Joe Teague walks the line between the LAPD, led by William Parker, and the mob, led by Bugsy Siegel.
1548;Kara Sevda;7.2;2015;2017;90;A young artist finds herself obligated to sacrifice her love story for hiding a family secret.
1549;Childrens Hospital;7.8;2008;2016;11;Explores the emotional struggles and sexual politics of a group of doctors charged with healthy libidos. Their dedication to their personal lives is relentless, interrupted only by the occasional need to treat sick children.
1550;Gantz;7.2;2004;null;22;A group of people are resurrected from their deaths by a mysterious black ball called GANTZ to combat alien criminals hiding on Earth.
1551;Transporter: The Series;6.5;2012;2014;48;Frank Martin is an ex special ops, who now spends his life as a transporter on the other side of the law. With three rules, he always completes his contracts. One way, or the other.
1552;Tatli Hayat;8.5;2001;2004;58;"A Turkish remake of ""The Jeffersons"". With Ihsan Yildirim's cleaning business booming, he insisted his family leave the ""plain folks"" and move up to Etiler with the ""fancy folks."" It is ...                See full summaryÂ Â»"
1553;Conviction;7.2;2016;2017;42;A brilliant attorney and former First Daughter is blackmailed to heading a unit that investigates cases of wrongful conviction.
1554;Life with Louie;8.3;1994;1998;30;Adventures of Louie Anderson as a child, growing up with his sweet-hearted mother, his loud and war crazed father, his 10 siblings, and children at school who love to tease him.
1555;The First;6.7;2018;null;45;Fictional series to chronicle the effort to send the first crewed mission to Mars.
1556;Mary Tyler Moore;8.1;1970;1977;30;The lives and trials of a young single woman and her friends, both at work and at home.
1557;Hilda;8.6;2018;2020;24;A fearless blue-haired girl named Hilda leaves the forest to go to town and find new friends, great adventures, magic and mysterious creatures who might be dangerous.
1558;The Good Guys;8.1;2010;null;60;Jack is a by-the-book detective whose habit of undermining himself has resulted in a dead-end position with the Police Dept. His partner Dan, a drunken, lecherous veteran hangs onto his job only because of one heroic act years ago.
1559;Trinkets;7.1;2019;2020;30;An unexpected friendship forms when three teenage girls meet in Shoplifters Anonymous.
1560;Teletubbies;3.8;1997;2001;28;Four creatures with televisions in their stomachs have fun in their magical world.
1561;I Am the Night;7;2019;null;60;In early 1960s, a teenage girl looking for her real father and a disgraced journalist seeking closure find themselves drawn into a web of secrets revolving around L.A.'s most infamous cold case, the Black Dahlia (Elizabeth Short) murder.
1562;Mr. Pickles;7.4;2013;2019;15;The Goodman family lives with their lovable pet dog, Mr. Pickles, a deviant border collie with a secret satanic streak.
1563;Gintama;8.6;2005;2018;24;In an era where aliens have invaded and taken over feudal Tokyo, an unemployed samurai finds work however he can.
1564;Ben 10: Alien Force;7.1;2008;2010;22;Fifteen-year-old Ben Tennyson must utilize the Omnitrix yet again in order to locate his missing Grandpa Max, accompanied by his cousin Gwen and former enemy Kevin 11.
1565;The Grinder;7.1;2015;2016;21;Television lawyer Dean Sanderson moves back to his small home town after a stint in Hollywood, thinking that his time on TV qualifies him to run his family's law firm.
1566;Satyamev Jayate;8.6;2012;2014;65;Aamir Khan hosts and produces this documentary/talkshow that explores the social issues affecting modern India.
1567;The Rockford Files;8.1;1974;1980;50;The cases of an easy-going ex-convict turned private investigator.
1568;The Bernie Mac Show;7;2001;2006;30;A stand up comedian suddenly becomes a father when he takes custody of his sister's three children.
1569;The Great British Bake Off;8.6;2010;null;60;Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.
1570;Harlots;7.7;2017;2019;45;Brothel owner Margaret Wells struggles to raise her daughters in London during the 18th century.
1571;American Pickers;7;2010;null;60;Mike and Frank are pickers that travel the country and literally would go anywhere just for the prospects of finding antique gold. With the assistance of Danielle they often find themselves in a comedic pickle.
1572;Blossom;6;1990;1995;30;A teenage girl living in a house run by men dreams what life would be like if she lived in a more conventional family.
1573;Eye Candy;7.2;2015;null;60;A New York woman suspects that one of her online dates is a serial killer.
1574;Damnation;7.7;2017;2018;60;An epic saga about the secret history of the 1930s American heartland, centering on the mythic conflict and bloody struggle between big money and the downtrodden.
1575;High Maintenance;8.1;2016;null;30;A comedy that explores the private lives of unique New York individuals through a common thread: their weed deliveryman.
1576;Tiny Pretty Things;5.8;2020;null;60;Follows the world of an elite ballet academy, and charts the rise and fall of young adults who live far from their homes, each standing on the verge of greatness or ruin.
1577;Phil of the Future;7;2004;2006;25;A family from 2121 is stuck in 2004, trying desperately to fit in.
1578;High School DxD;7.6;2012;2018;23;After being killed on his first date, idiotic and perverted Issei Hyodo is resurrected as a demon by Rias Gremory only to be recruited into her club of high-class devils.
1579;Taarak Mehta Ka Ooltah Chashmah;8;2008;null;22;The day-to-day happenings of Gokuldham Society and its members, who live, celebrate and often face problems together.
1580;Rosewood;6.7;2015;2017;42;Miami pathologist Dr. Beaumont Rosewood, Jr. finds secrets in people's bodies using his state-of-the-art laboratory equipment.
1581;Explained;8.1;2018;null;18;A documentary series that looks to explore the big questions of today.
1582;The Trip;8;2010;null;172;Steve is asked to review restaurants for the UK's Observer who is joined on a working road trip by his friend Rob who fills in at the last minute when Coogan's romantic relationship falls apart.
1583;Top Cat;7.1;1961;1962;30;Top Cat is the leader of a group of alley cats, always trying to cheat someone.
1584;All That;7.5;1994;2019;30;A zany sketch comedy featuring many wacky characters hosted for kids and by kids.
1585;9-1-1: Lone Star;6.6;2020;null;43;A New York firefighter relocates to Austin, Texas with his son, where he works to save people's lives while trying to solve his own personal problems.
1586;Fantasy Island;6.5;1977;1984;60;The mysterious Mr. Roarke runs a unique resort island in the Pacific Ocean that can fulfill literally any fantasy requested by guests, but they rarely turn out as expected.
1587;The Avengers;8.3;1961;1969;60;A quirky spy show of the adventures of eccentrically suave British Agent John Steed and his predominately female partners.
1588;Brotherhood;7.7;2006;2008;60;Set in an Irish neighborhood in Providence, Rhode Island, the series reflects around two brothers on opposite sides of the law: one a gangster (Jason Isaacs) and the other a state politician (Jason Clarke).
1589;Beyond;7;2016;2018;43;A young man wakes up from a 12 year coma to discover new abilities that come to propel him into the middle of a dangerous conspiracy.
1590;Frisky Dingo;8.1;2006;2008;11;A philandering billionaire playboy who moonlights as the superhero, Awesome X, faces against his greatest adversary, Killface, but finds balancing his business and superhero lives difficult.
1591;Finding Carter;7.5;2014;2015;42;A teenager finds out she was abducted as a toddler and returns to her biological family.
1592;Food Wars: Shokugeki no Soma;8.2;2015;null;24;Soma Yukihira enrolls in an elite culinary school to become a full-time chef and surpass his father's culinary skills.
1593;Haters Back Off!;6;2016;2017;30;The odd ball family life of Miranda Sings, an incredibly confident, totally untalented star on the rise who continues to fail upward by the power of her belief that she was born famous, it's just no one knows it yet.
1594;Leave It to Beaver;7.5;1957;1963;30;The misadventures of a suburban boy, family and friends.
1595;City on a Hill;7.5;2019;null;60;In early 1990s Boston, ADA Decourcy Ward forms an unlikely alliance with a corrupt venerated FBI veteran, Jackie Rohr. Together, they take on a case that changes the city's entire criminal justice system.
1596;Army Wives;7.3;2007;2013;60;Four women and one man share the common bond of loving someone in the U.S. Army.
1597;Johnny Test;5;2005;2014;30;The adventures of average suburban boy Johnny Test, who wittingly plays test subject for his genius twin sisters' various experiments, reluctantly fighting evil villains in the process.
1598;New Amsterdam;7.4;2008;null;60;A New York homicide detective is cursed with immortality.
1599;GTO;8.6;1999;2000;24;About Eikichi Onizuka, a 22-year-old ex-gangster member and a virgin. He has one ambition that no one ever expected from him. His solely life purpose is to become the greatest high school teacher ever.
1600;One Strange Rock;8.8;2018;null;47;The extraordinary story of Earth and why it is special and uniquely brimming with life among a largely unknown but harsh cosmic arena
1601;Bill Nye, the Science Guy;8.2;1993;1998;30;Scientist/comedian Bill Nye explores various aspects of science for young viewers.
1602;Liv and Maddie;6.3;2013;2017;22;Follows Liv, a popular television star whose show has just finished its run, and Maddie, an outstanding student and school basketball star whose popularity is on the rise, until Liv makes a return to their high school.
1603;The Wrong Mans;7.8;2013;2014;29;From actor/writer duo James Corden and Mathew Baynton, The Wrong Mans series centers on Sam Pinkett and Phil Bourne, office workers for Berkshire County Council, who have their menial ...                See full summaryÂ Â»
1604;Dororo;8.4;2019;null;30;A father in pursuit of power gives parts of his new-born son to a host of demons. Years later, the son battles those demons to regain what is rightfully his.
1605;La casa de las flores;7.7;2018;2020;60;A wealthy matriarch tries to maintain her family's facade of perfection after her husband's mistress exposes their dirty secrets.
1606;Hap and Leonard;7.7;2016;2018;60;Set in the late 1980's Hap and Leonard is a darkly comic swamp noir of two best friends, one femme fatale, a crew of washed up revolutionaries, a pair of murderous psycho killers, some lost loot, and the fuzz.
1607;Mr. Sunshine;6.8;2011;2012;293;Ben Donovan manages The Sunshine Centre, a second rate sports arena in San Diego.
1608;Murder in the First;7.3;2014;2016;42;A single murder case is dissected from the committing of the crime through to the investigation, arrest and trial.
1609;Scott & Bailey;8;2011;2016;45;Two female detectives, one motherly, the other emotionally immature, have varying levels of success applying their eccentric outlooks on life to their police cases and private lives.
1610;Plebs;7.9;2013;null;25;PLEBS follows three desperate young men from the suburbs as they try to get laid, hold down jobs, and climb the social ladder in the big city - a city that happens to be Ancient Rome.
1611;JL50;7.5;2020;null;42;A plane is discovered to have recently crashed in West Bengal. However, what is so baffling about the incident is that plane originally went missing 35 years ago.
1612;Crossbones;6.5;2014;null;60;Set during the golden age of piracy in the 1700s and centers on legendary pirate Blackbeard.
1613;Sunderland 'Til I Die;8.1;2018;null;39;Highlights the unfailing passion Sunderland residents have for their beloved football club, taking viewers through the highs and lows of SAFC's 2017-18 season in the Championship following its relegation the previous year.
1614;The Being Frank Show;6.7;2010;null;110;Variety show hosted by Frank D'Angelo with celebrity interviews, comedy bits and much more.
1615;Riviera;6.7;2017;null;60;A woman discovers her family's lifestyle has been funded by blood and seeks to protect herself and her loved ones.
1616;Dads;5.5;2013;2014;22;Two successful guys in their 30's have their lives turned upside down when their nightmare dads unexpectedly move in with them.
1617;Kuroshitsuji;7.8;2008;2010;24;A young boy sells his soul to a demon in order to avenge his family's death and successfully lead their influential toy manufacturing company. The demon takes the form of a loyal butler who's always dressed in black and is required to protect, serve and arrive whenever summoned by his young master Ciel.
1618;Dirt;6.9;2007;2008;60;A tabloid editor and her photographer try to make their way in the world of celebrity journalism.
1619;Bill Nye Saves the World;3.6;2017;2018;30;Scientist Bill Nye explores various problems and misconceptions from a scientific point of view.
1620;Luchshe, chem lyudi;7.4;2018;2019;52;A family on the brink of splitting up become the owners of a cutting-edge robot being sought by a corporation, homicide investigators and terrorists.
1621;Kojak;7.1;1973;1978;60;A bald, lollipop sucking police detective with a fiery righteous attitude battles crime in his city.
1622;Lost in Space;7.3;1965;1968;60;A space colony family struggles to survive when a spy/accidental stowaway throws their ship hopelessly off course.
1623;Beetlejuice;7.3;1989;1991;22;Adventures of the ghostly con-artist and his 12-year-old pal, Lydia.
1624;Avengers Assemble;7;2013;2019;23;The further adventures of the Marvel Universe's mightiest general membership superhero team.
1625;AJ and the Queen;7.5;2020;null;52;Ruby Red, a down-on-her-luck drag queen traveling across America, develops an unlikely sidekick named AJ.
1626;Jonathan Creek;8.1;1997;2016;120;Working from his home in a converted windmill, Jonathan Creek is a magician with a natural ability for solving puzzles. He soon puts this ability to the use of solving impossible crimes and mysterious murders.
1627;Xiaolin Showdown;7.5;2003;2006;30;A young Xiaolin monk named Omi with a giant yellow head leads a trio of other students to collect powerful items known as Shen Gong Wu while battling the evil Jack Spicer who is also after the artifacts
1628;Cory in the House;5.1;2007;2008;22;Cory Baxter moves to the White House in Washington, DC when his father Victor, is named the new personal White House chef of the President.
1629;Divorce;6.8;2016;2019;30;A couple goes through a long, drawn-out divorce.
1630;Tidelands;7;2018;null;60;After an ex-con returns to her fishing village, a dead body leads her to uncover the secrets of the town and its half-siren, half-human residents.
1631;Ed;7.5;2000;2004;60;A separated, fired NYC lawyer returns to his hometown in Ohio, meets old high school friends and cute crush, buys a bowling alley and opens a law office in it.
1632;The View;2.6;1997;null;60;A panel of four women discuss news and politics.
1633;Abhay;7.8;2019;null;35;Abhay Pratap Singh, the gutsy cop who can outwit any criminal, is back. Only this time, he is up against some sharper and hardened evil masterminds. Join him as he sets out on the road to justice with a darker and edgier.
1634;Yes, Dear;7;2000;2006;30;Yes, Dear is a comedy about two young couples and their outrageously contrasting views on parenting.
1635;Duck Dodgers;7.8;2003;2005;30;Animated science fiction series based on the alter ego of Looney Tunes star Daffy Duck, the semi-heroic, yet incompetent, space Captain Duck Dodgers.
1636;The Royle Family;8.1;1998;2012;45;A British sitcom about a family going through everyday life in the Royle family house.
1637;Patriot Act with Hasan Minhaj;8.3;2018;2020;25;In this weekly show, the former Daily Show correspondent Hasan Minhaj brings his unique comedic voice and storytelling skill to explore the larger grim trends shaping our fragmented world.
1638;Smoke;8.5;2018;2019;40;Set in Goa, Smoke explores the dark web of drugs, mafia, and power. With the cartels at war, who will survive?
1639;Lark Rise to Candleford;8.1;2008;2011;53;"An adaptation of Flora Thompson's autobiographical novel ""Lark Rise To Candleford"", set in 19 century Oxfordshire, in which a young girl moves to the local market town to begin an apprenticeship as a postmistress."
1640;Matlock;7;1986;1995;60;Ben Matlock is a very expensive criminal defense attorney, who charges one hundred thousand dollars to take a case. Fortunately, he's worth every penny, as he and his associates defend his clients by finding the real killer.
1641;How It's Made;7.8;2001;null;24;Television series that documents how various everyday products are made.
1642;Powerless;6.4;2017;null;21;Follow the staff of an insurance company, specialising in products to protect defenseless bystanders from the collateral damage of Superheroes and Supervillains.
1643;Dynasty;6.3;1981;1989;60;The trials and tribulations of two feuding families, the Carringtons and the Colbys, both oil rich families in Denver, Colorado.
1644;Love, Victor;8.1;2020;null;30;Victor is a new student at Creekwood High School on his own journey of self-discovery, facing challenges at home, adjusting to a new city, and struggling with his sexual orientation.
1645;Toast of London;8.2;2012;null;30;Steven Toast, an eccentric middle aged actor with a chequered past, spends more time dealing with his problems off stage than performing on it
1646;Superjail!;7.7;2007;2014;10;In a surreal world, a large maximum security prison, which houses thousands of dangerous inmates is run by an eccentric warden and his equally odd staff.
1647;Origin;7.1;2018;null;45;A group of strangers struggle for survival aboard a spaceship heading to a distant planet.
1648;Young Wallander;6.8;2020;null;44;Follow recently graduated police officer Kurt Wallander as he investigates his first case.
1649;Vratice se rode;8.9;2007;2008;55;A story of two friends and petty thieves trying to make a living, but failing in every possible way.
1650;Nash Bridges;6.8;1996;2001;60;A smart alecky San Francisco, California cop and his get rich quick scheme of a partner keep tabs on crime and take down the bad guys in the Bay Area.
1651;The Flash;7.2;1990;1991;48;"A police forensic scientist, Barry Allen, battles crimes as the super-fast superhero ""The Flash""."
1652;Laverne & Shirley;6.9;1976;1983;30;The misadventures of two single women in the 1950s and '60s.
1653;Diagnosis Murder;6.8;1993;2001;45;Dr. Mark Sloan has a knack for getting into trouble, negotiating the twists and turns of mysteries and solving crimes with the help of his son, Steve, a homicide detective.
1654;Unsolved;7.9;2018;null;60;A scripted true crime series based on the murder investigations of Tupac Shakur and Biggie Smalls.
1655;Turn Up Charlie;7.1;2019;null;30;Charlie, a struggling DJ and eternal bachelor is given a final chance at success when he reluctantly becomes a nanny to his famous best friend's problem-child daughter.
1656;Instinct;6.6;2018;2019;60;"A former CIA operative (Cumming), who has since built a ""normal"" life as a gifted professor and writer, is pulled back into his old life when the NYPD needs his help to stop a serial killer on the loose."
1657;God Friended Me;6.9;2018;2020;43;An atheist's life is turned upside down when God adds him as a friend on Facebook.
1658;Man v. Food;7.3;2008;null;30;Host Adam Richman (and subsequently Casey Webb) travels around the U.S., taking on a variety of local eating challenges involving meal size, spiciness and other daunting factors.
1659;Emily Owens M.D.;7.5;2012;2013;43;A young doctor realizes that working as an intern in a big hospital is very much the same as being in high school.
1660;Tokyo Ghoul: re;6.9;2018;null;24;Two years have passed since the CCG's raid on Anteiku. Although the atmosphere in Tokyo has changed drastically due to the increased influence of the CCG, ghouls continue to pose a problem ...                See full summaryÂ Â»
1661;W - Du gaeui segye;8.1;2016;null;60;A love story between a couple in their early thirties. They belong to the same era but alternate realities.
1662;DuckTales;8.3;2017;2021;21;The comedy-adventure series chronicles the high-flying adventures of trillionaire Scrooge McDuck, his grandnephews - Huey, Dewey, and Louie - and temperamental nephew Donald Duck, Launchpad McQuack, Mrs. Beakley, and her granddaughter Webby.
1663;Primal;8.7;2019;null;22;A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.
1664;A Touch of Frost;7.8;1992;2010;105;DI Jack Frost is an unconventional policeman with sympathy for the underdog and an instinct for moral justice. Sloppy, disorganized and disrespectful, he attracts trouble like a magnet.
1665;The Fall Guy;7.1;1981;1986;60;The adventures of a film stuntman who moonlights as a bounty hunter when movie work is slow.
1666;Karppi;7.2;2018;2020;45;When Sofia Karppi discovers the body of a young woman on a construction site, she triggers a chain of events that threatens to destroy her life again.
1667;Bang Baang;7.2;2021;null;18;Raghu faces the biggest test of his life when he is a prime suspect in a high-profile murder case. Meera, his ex girlfriend is closing onto him at the same time. Will the truth prevail or will the case get more murkier?
1668;Squidbillies;6.5;2005;null;11;Follows the adventures of the Cuylers, an impoverished and dysfunctional family of anthropomorphic, air-breathing, redneck squids who live in a rural Appalachian community in the state of Georgia.
1669;Hart to Hart;6.6;1979;1984;60;The globe-trotting adventures of amateur detectives Jonathan and Jennifer Hart.
1670;Rake;8.5;2010;2018;60;Criminal lawyer Cleaver Greene defends the indefensible - from bigamists to cannibals and everything in between. He is champion of the lost cause, both in the court room and in the bedroom.
1671;Durarara!!;7.9;2010;null;24;Tired of his mundane life, Mikado Ryugamine decides to move to Ikebukuro, a district in Tokyo, when a friend invites him. With everything from invisible gangs to rumored beings, Ikebukuro is full of connected mysteries where people's pasts intertwine with the present.
1672;Kiralik Ask;7.1;2015;2017;120;When Defne's brother gets into debt and is held captive, Defne is forced to accept an offer in exchange for the money. She has to make omer, a wealthy shoe designer who owns a company, fall in love with her and marry her.
1673;Thundercats;7.8;2011;2012;22;After his home kingdom is destroyed by the ancient devil priest Mumm-Ra, the young Thundercat Lord Lion-O leads a team of survivors as they fight evil on Third Earth.
1674;Wrecked;7.3;2016;2018;30;When a plane crashes on a deserted island on the way to Thailand, the remaining survivors of the crash struggle to get along and heads clash as they have differing views on how to stay alive and how they will get off the island.
1675;Accidentally on Purpose;6.3;2009;2010;22;Billie, 37, breaks up with her boss at the newspaper and gets pregnant with Zack, 22, who now lives in her apartment. They both have their pals.
1676;Ghost Hunters;6.2;2004;null;60;"This one-hour weekly docu-soap from the creator/executive producer of ""American Chopper"" follows a group of real-life paranormal researchers as they investigate haunted houses throughout ...                See full summaryÂ Â»"
1677;Late Night with Seth Meyers;6.1;2014;null;60;Seth Meyers hosts a late-night talk show.
1678;The King: Youngwonui Gunjoo;8.2;2020;null;70;A modern-day Korean emperor passes through a mysterious portal and into a parallel world, where he encounters a feisty police detective.
1679;Secret City;7.4;2016;2019;49;Beneath the placid facade of Canberra, amidst rising tension between China and America, senior political journalist Harriet Dunkley uncovers a secret city of interlocked conspiracies, putting innocent lives in danger including her own.
1680;Anthony Bourdain: No Reservations;8.4;2005;2012;60;Anthony Bourdain, chef, writer, traveler, visits places all around the world sampling various foods.
1681;The Bachelor;3.2;2002;null;60;A single bachelor dates multiple women over several weeks, narrowing them down to hopefully find his true love.
1682;Clone High;8.1;2002;2003;22;The greatest minds of the world have been cloned, and are now attending high school together.
1683;4 Blocks;8.2;2017;2019;60;Based in NeukÃ¶lln, Berlin Toni manages the daily business of dealing with the Arabic gangs and ends up wanting to leave his old life behind for his family, but as expected, it's never that simple.
1684;Tales of the City;7.4;2019;null;60;"A middle-aged Mary Ann returns to San Francisco and reunites with the eccentric friends she left behind. ""Tales of the City"" focuses primarily on the people who live in a boardinghouse turned apartment complex owned by Anna Madrigal at 28 Barbary Lane, all of whom quickly become part of what Maupin coined a ""logical family"". It's no longer a secret that Mrs. Madrigal is transgender. Instead, she ...                See full summaryÂ Â»"
1685;Search Party;7.7;2016;null;24;Search Party is a dark comedy about four self-absorbed twenty-somethings who become entangled in an ominous mystery when a former college acquaintance suddenly disappears.
1686;Psychoville;7.9;2009;2011;30;"A group of seemingly unrelated strangers all receive a mysterious note stating ""I know what you did"", which sends their lives into a downward spiral."
1687;The Proud Family;6.4;2001;2005;30;Follow the adventures and misadventures of Penny Proud as she does her best to navigate through the early years of teend-dom.
1688;Fear Factor;5.7;2001;2012;60;Doing scary stuff to win prizes.
1689;Das Boot;7.4;2018;null;60;An inexperienced U-boat crew has to survive a secret mission and a young German woman is torn between loyalty for her home country and the French resistance in the WWII drama.
1690;Blood Ties;7.2;2007;null;43;Vicki Nelson, a former homicide detective turned private investigator, and Henry Fitzroy, a 470-year-old vampire, form a unique team solving cases and dealing with the supernatural world.
1691;Made in Abyss;8.4;2017;null;325;A girl and her robot companion search for her mother, who's lost within a vast chasm.
1692;Touched by an Angel;6;1994;2003;60;Monica (Roma Downey), Tess (Della Reese), and Andrew (John Dye) are a trio of angels sent to Earth to tell depressed and troubled people that God loves them and hasn't forgotten them.
1693;The Bionic Woman;6.7;1976;1978;60;After fully recovering from her nearly fatal bout of bionic rejection, Jaime Sommers, the first female cyborg, is assigned to spy missions of her own.
1694;Seaquest DSV;6.7;1993;1996;60;In the early 21st century, mankind has colonized the oceans. The United Earth Oceans Organization enlists Captain Nathan Bridger and the submarine seaQuest DSV to keep the peace and explore the last frontier on Earth.
1695;Tate no Yuusha no Nariagari;8.1;2018;null;24;Stories of old tell of four otherworldly heroes - wielding the sword, spear, bow, and shield - who defended the land from wave after wave of calamity. With the fate of the world in balance,...                See full summaryÂ Â»
1696;Godfather of Harlem;8;2019;null;55;A gangster named Bumpy Johnson makes his way in Harlem during the 1960s. A TV prequel to the 2007 film, 'American Gangster', which centered on the criminal enterprise of Frank Lucas.
1697;Dublin Murders;7.1;2019;null;60;Crime series based on the novels by Tana French.
1698;Run;6.2;2020;null;29;Two ex-lovers, a married American woman and an aspiring British writer, activate a long-planned escape plan and disappear together for a week. They soon get into trouble and a female cop goes after them.
1699;The Comeback;8;2005;2014;30;An ex A-list celebrity attempts to rekindle the flame of her once prominent acting career with nothing but a camera crew and some determination.
1700;Agatha Christie's Marple;7.8;2004;2013;93;An elderly spinster living in the village of St. Mary Mead, helps her friends and relatives solve mysterious murders.
1701;Trophy Wife;6.9;2013;2014;30;A reformed party girl finds herself an insta-family after falling in love with a man with 3 manipulative children and two judgmental ex-wives.
1702;Tash ma Tash;8.8;1992;2011;25;Follows two guys and their adventures in Kingdom Of Saudi Arabia.
1703;In the Dark;7.5;2019;null;42;A young, blind woman tries to solve her friend's murder.
1704;Gullak;9.1;2019;null;24;Set in quaint by-lanes in the heart of India, Gullak is a collection of disarming and relatable tales of the Mishra family.
1705;Adam Ruins Everything;8;2015;null;30;Iconoclastic Adam Conover from CollegeHumor turns life as we know it on its ear by showing us how unnecessary, and sometimes horrible, things we think we know to be real and true really are.
1706;The Late Late Show with James Corden;6.1;2015;null;60;A late-night talk show with a different interview format, where guests appear on stage simultaneously and the host sits to the left and not behind a desk, and with original segments like 'Carpool Karaoke'.
1707;Kono subarashii sekai ni shukufuku o!;7.8;2016;2017;24;It was a happy day for Kazuma - right up to the moment he died. A goddess intervenes and offers him a second chance in a magical land.
1708;Beauty and the Beast;7;1987;1990;60;The adventures and romance of a sensitive and cultured lion-man and a crusading assistant district attorney in Manhattan, New York City.
1709;Dickinson;7.3;2019;null;30;An inside look at the world of writer Emily Dickinson.
1710;Saving Hope;7.5;2012;2017;43;A supernatural medical drama that centers on the lives of the doctors and nurses of Hope Zion Hospital.
1711;Due South;8;1994;1999;46;The adventures of an impossibly upright Royal Canadian Mounted Police constable and his American colleagues in the city of Chicago.
1712;Beforeigners;7.8;2019;null;45;HBO Nordic's first original series from Norway, Beforeigners is about two persons who mysteriously appear in Oslo. They are the first of many from the past to seek refuge in present time. Seven years later the community is transformed.
1713;Powers;6.7;2015;2016;42;Set in a world where humans and super heroes co-exist, a homicide detective, who had his own powers taken from him, investigates crimes involving superhumans along with his partner.
1714;Love/Hate;8.5;2010;2014;51;The story of the organized crime scene of Dublin is revealed, centered on Darren, who wants to stay out of trouble but ends up returning to his old habits and his old gang.
1715;The Thin Blue Line;7.5;1995;1996;30;Various mishaps at a police station in an English town. The main character is the anachronistic, yet charming and funny Inspector Fowler. CID foil to Fowler, Inspector Grim is a bumbling, seething idiot.
1716;Relic Hunter;6.6;1999;2002;60;Sydney Fox is a university professor and black belt who globe-trots after lost, stolen and rumored to exist artifacts and antiquities.
1717;Crashing;7.5;2017;2019;30;A New York comic is forced to make a new start for himself after his wife leaves him.
1718;Emergence;7.2;2019;2020;43;A police chief investigates a case involving a young child found near the site of a mysterious accident.
1719;Survivorman;8.2;2004;null;44;No food, no shelter, no fresh water - one man alone in the wild for seven days with only his wits and stamina to sustain him.
1720;Fate/stay night: Unlimited Blade Works;8;2014;2015;24;A group of seven mages gets chosen to become masters of seven classes of heroic spirits, in order to fight and win the Holy Grail.
1721;Yalan DÃ¼nya;7.1;2012;2014;190;Humorous way of life with three different family having diversified lifestyle habits.
1722;Space Ghost Coast to Coast;7.9;1993;2011;15;Space Ghost, a superhero from a 1960s Hanna-Barbara cartoon, hosts his own talk show.
1723;Jeopardy!;8.2;1984;null;30;A returning champion and two challengers test their buzzer skills and their knowledge in a wide range of academic and popular categories.
1724;Friends with Better Lives;7;2014;null;22;A comedy centered around six 30-something friends who each think the other has it better.
